customer_group_id,warehouse_id,customer_name,po_number,facility_name,facility_Location,po_date,po_expiry_date,HSN,Item_Code,Description,po_qty,Basic_rate,GST,Net_Landing_rate,MRP,available_quantity,unavailable_quantity
1,1,"Customer 1",PO-1001,"Facility 1","Location 1",05-07-2025,03-10-2025,9430,ITEM001,"Item Description 1",87,451.43,28,281.84,669.97,100,"All Available"
1,1,"Customer 2",PO-1002,"Facility 2","Location 2",05-07-2025,03-10-2025,9762,ITEM002,"Item Description 2",76,433.47,28,595.83,536.21,24,"52 Not Available"
1,1,"Customer 3",PO-1003,"Facility 3","Location 3",05-07-2025,03-10-2025,6114,ITEM003,"Item Description 3",79,232.95,12,532.39,1459.03,24,"55 Not Available"
1,1,"Customer 4",PO-1004,"Facility 4","Location 4",05-07-2025,03-10-2025,7395,ITEM004,"Item Description 4",84,727.98,28,1029.07,448.51,8,"76 Not Available"
1,1,"Customer 5",PO-1005,"Facility 5","Location 5",05-07-2025,03-10-2025,6588,ITEM005,"Item Description 5",88,802.02,12,945.42,1303.57,12,"76 Not Available"
1,1,"Customer 6",PO-1006,"Facility 6","Location 6",05-07-2025,03-10-2025,6133,ITEM006,"Item Description 6",89,674.06,18,416.76,252.4,36,"53 Not Available"
1,1,"Customer 7",PO-1007,"Facility 7","Location 7",05-07-2025,03-10-2025,4395,ITEM007,"Item Description 7",77,573.97,5,733.88,1134.01,8,"69 Not Available"
1,1,"Customer 8",PO-1008,"Facility 8","Location 8",05-07-2025,03-10-2025,6837,ITEM008,"Item Description 8",90,787.65,5,606.42,1088.76,24,"66 Not Available"
1,1,"Customer 9",PO-1009,"Facility 9","Location 9",05-07-2025,03-10-2025,1273,ITEM009,"Item Description 9",13,949.2,18,612.04,481.38,6,"7 Not Available"
1,1,"Customer 10",PO-1010,"Facility 10","Location 10",05-07-2025,03-10-2025,9433,ITEM010,"Item Description 10",79,612.05,5,562.57,508.37,8,"71 Not Available"
1,1,"Customer 11",PO-1011,"Facility 11","Location 11",05-07-2025,03-10-2025,6709,ITEM011,"Item Description 11",42,257.43,5,259.13,1378.41,24,"18 Not Available"
1,1,"Customer 12",PO-1012,"Facility 12","Location 12",05-07-2025,03-10-2025,9066,ITEM012,"Item Description 12",19,404.93,18,274.09,570.25,24,"All Available"
1,1,"Customer 13",PO-1013,"Facility 13","Location 13",05-07-2025,03-10-2025,1016,ITEM013,"Item Description 13",56,523.36,18,437.73,432.01,12,"44 Not Available"
1,1,"Customer 14",PO-1014,"Facility 14","Location 14",05-07-2025,03-10-2025,8311,ITEM014,"Item Description 14",39,440.04,5,609.46,1030.61,12,"27 Not Available"
1,1,"Customer 15",PO-1015,"Facility 15","Location 15",05-07-2025,03-10-2025,9811,ITEM015,"Item Description 15",39,267.63,28,201.19,263.98,24,"15 Not Available"
1,1,"Customer 16",PO-1016,"Facility 16","Location 16",05-07-2025,03-10-2025,1917,ITEM016,"Item Description 16",89,295.34,12,671.16,919.85,24,"65 Not Available"
1,1,"Customer 17",PO-1017,"Facility 17","Location 17",05-07-2025,03-10-2025,8792,ITEM017,"Item Description 17",96,180.92,28,242.82,1059.26,24,"72 Not Available"
1,1,"Customer 18",PO-1018,"Facility 18","Location 18",05-07-2025,03-10-2025,2531,ITEM018,"Item Description 18",44,108.81,5,924.49,1234.91,12,"32 Not Available"
1,1,"Customer 19",PO-1019,"Facility 19","Location 19",05-07-2025,03-10-2025,6713,ITEM019,"Item Description 19",21,974.13,18,555.18,193.2,24,"All Available"
1,1,"Customer 20",PO-1020,"Facility 20","Location 20",05-07-2025,03-10-2025,3988,ITEM020,"Item Description 20",75,615.99,28,618.28,1077.82,8,"67 Not Available"
