customer_name,po_number,sku,facility_name,facility_location,po_date,po_expiry_date,hsn,item_code,description,basic_rate,gst,net_landing_rate,mrp,po_qty,available_quantity,unavailable_quantity
Technofra,PO-91515,SKU-1001,Rowe-Duke,Wrightburgh,24-05-2025,28-02-2026,5628,ITM1883,"Everybody management.",335.06,17.25,239.65,179.47,96,12,"84 Not Available"
Technofra,PO-64472,SKU-1002,"Wong, Roberts and Rush",Mcconnellbury,27-02-2025,07-01-2026,6686,ITM5337,"Minute significant score on across.",257.04,16.97,245.66,604.98,46,24,"22 Not Available"
"Dipu Enterprises.",PO-61640,SKU-1003,Robinson-Brown,Gillespiefurt,29-12-2024,11-10-2025,5020,ITM9150,"Probably poor.",432.45,7.44,216.96,433.59,5,24,"All Available"
"Dipu Enterprises.",PO-94191,SKU-1004,Ross-Lee,Sanchezland,22-10-2024,17-04-2026,8022,ITM2378,"Audience responsibility and.",102.93,17.28,335.07,429.82,78,8,"70 Not Available"
Technofra,PO-70549,SKU-1005,Barnett-Burns,"New Sherrishire",04-12-2024,06-08-2025,3519,ITM2702,"Baby card.",438.64,23.93,286.53,465.18,45,12,"33 Not Available"
Technofra,PO-69347,SKU-1006,"Taylor and Sons",Walkerville,10-11-2024,05-12-2025,6039,ITM2711,"Budget boy dream significant good.",389.24,25.63,464.53,356.98,13,36,"All Available"
"Dipu Enterprises.",PO-44701,SKU-1007,Garcia-Krueger,"Lake Lisa",30-10-2024,06-10-2025,2683,ITM9417,"On high cost city.",470.87,26.66,253.01,70.56,77,8,"69 Not Available"
"Dipu Enterprises.",PO-25974,SKU-1008,"Ryan Ltd",Ericstad,27-06-2025,08-04-2026,5327,ITM8964,"Individual yeah who stop.",485.44,15.66,377.03,613.19,18,24,"All Available"
Technofra,PO-73182,SKU-1009,"Villegas PLC",Romerofort,31-07-2024,21-01-2026,1313,ITM8742,"Operation leave.",320.45,27.8,430.42,161.17,16,6,"10 Not Available"
Technofra,PO-57012,SKU-1010,"Martinez PLC","New Kimberlyside",18-04-2025,25-08-2025,3054,ITM4585,"Local benefit support.",462.21,10.43,396.48,601.73,95,8,"87 Not Available"
"Dipu Enterprises.",PO-79311,SKU-1011,"Salazar Ltd",Pittsberg,29-01-2025,25-07-2025,9272,ITM7939,"Unit item here.",351.18,13.61,310.56,543.55,70,24,"46 Not Available"
"Dipu Enterprises.",PO-94165,SKU-1012,"Woodward, Allen and Mason",Reyeshaven,11-01-2025,12-03-2026,1400,ITM2802,"Change week probably.",191.59,21.57,160.15,626.3,41,24,"17 Not Available"
Technofra,PO-97325,SKU-1013,"Coleman Ltd",Williamsberg,19-11-2024,26-09-2025,3348,ITM7630,"Central development very soon.",460.42,23.37,154.49,154.76,76,12,"64 Not Available"
Technofra,PO-14190,SKU-1014,Silva-Walker,Maymouth,01-10-2024,07-01-2026,4524,ITM2689,"Beat big positive respond defense.",178.62,19.34,460.67,497.33,17,12,"5 Not Available"
"Dipu Enterprises.",PO-41935,SKU-1015,"Krueger, Murphy and Russell",Paigeport,23-06-2025,20-09-2025,1221,ITM2953,"Eight range by.",438.32,19.63,392.17,396.68,25,24,"1 Not Available"
"Dipu Enterprises.",PO-12907,SKU-1016,"Brooks Ltd","South Justinport",13-11-2024,06-10-2025,5947,ITM6280,"Population thing poor.",272.06,20.22,273.8,177.62,59,24,"35 Not Available"
Technofra,PO-67965,SKU-1117,Jacobs-Owens,Kristyburgh,04-09-2024,07-01-2026,2540,ITM4594,"Quality join its young others.",495.6,18.03,141.32,625.91,39,0,"39 Not Available"
Technofra,PO-23222,SKU-1118,"Trevino Group",Phamstad,15-01-2025,28-11-2025,1239,ITM1436,"Middle money people.",357.31,23.08,107.95,519.41,41,0,"41 Not Available"
"Dipu Enterprises.",PO-33452,SKU-1119,"Sandoval LLC",Pattersonhaven,15-02-2025,26-02-2026,8137,ITM6643,"Security even big its.",106.21,24.95,120.44,241.21,49,0,"49 Not Available"
"Dipu Enterprises.",PO-22477,SKU-1120,"Walters Inc","Lake David",05-07-2024,04-02-2026,1736,ITM7756,"Near stock once follow car.",269.44,20.87,364.75,234.8,27,0,"27 Not Available"
