"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Item Code",Description,"Basic Rate",GST,"Net Landing Rate",MRP,"PO Quantity","Available Quantity","Unavailable Quantity"
Blinkit,1881310084935,BMHM500,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235010,"Pasabahce Homemade Glass Jar (Transparent, 500 ml, 2 pcs)(Box)",270.34,18,319,550,48,0,48
Blinkit,1881310084935,1046272,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235014,"Pasabahce Weizen Glass Beer Glass (520 ml, Transparent)(Box)",304.75,18,359.6,620,36,0,36
Blinkit,1881310084935,BMHM1000,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235006,"Pasabahce Homemade Glass Jar (Transparent, 1000 ml, 2 pcs)(Pack)",393.22,18,464,800,36,0,36
Blinkit,1881310084935,674117,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10237122,"Pasabahce Barrel Whiskey Glass Set (340 ml, Transparent)(Box)",506.27,18,597.4,1030,32,0,32
Blinkit,1881310084981,4GH010C04401G0001,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70133700,10209138,"Ocean Lumi Borosilicate Glass Jar (Transparent, 1250 ml)(Box)",253.87,18,299.57,455,72,0,72
Blinkit,1881310084981,4GB006C02601G0001,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70133700,10209130,"Ocean Lumi Borosilicate Glass Jar (Transparent, 750 ml)(Box)",269.63,18,318.16,485,24,0,24
Blinkit,1881310084981,4GH009C034,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70133700,10153533,"Ocean Lumi Borosilicate Glass Bottle (1 L)",162.71,18,192,425,24,0,24
Blinkit,1881310084981,B02310,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70133700,10209370,"Ocean Pyramid Glass Set (300 ml, Transparent)(Box)",327.37,18,386.3,595,24,0,24
Blinkit,1881310084981,B01712,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70133700,10209410,"Ocean Aloha Water Glass Set (360 ml, Transparent)(Box)",345.23,18,407.37,629,12,0,12
Blinkit,1881310084981,B00411,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70133700,10209396,"Ocean San Marino Glass Set (300 ml, Transparent)(Box)",336.3,18,396.83,612,12,0,12
