"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Portal Code","Item Code",Description,GST,"Basic Rate","Product Basic Rate","Basic Rate Confirmation","Net Landing Rate","Product Net Landing Rate","Net Landing Rate Confirmation",MRP,"Product MRP","MRP Confirmation","Case Pack Quantity","PO Quantity","Available Quantity","Unavailable Quantity","Warehouse Allocation",Reason
"Pune-FV- FMCG-DC",IRM35124402,JR275CL,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40240201,"Yera Round Storage Jar - With Plastic Capsicum Lid, Plain Design, Ideal For Storing Snacks & Pickles 280 ml  (Set of 3)",18,114.75,114.75,Correct,135.41,135.405,Correct,225,,Incorrect,0,40,0,40,"PO Required: 40",
"Pune-FV- FMCG-DC",IRM35124402,B11011,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70133700,BigBasket,40245715,"Ocean Plaza Hi Ball Glass - High Quality 320 ml  (Set of 6)",18,387.45,387.45,Correct,457.19,457.191,Correct,738,,Incorrect,0,10,10,0,"Bhiwandi WH - PO Qty: 10, Available: 10, Unavailable: 0",
"Pune-FV- FMCG-DC",IRM35124402,T9AHB,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40267514,"Yera Glass Tumbler - Straight, With Heavy Bottom, Food Grade, Odour & Stain Free 280 ml  (Set of 6)",18,159.26,159.25,Correct,187.93,187.915,Correct,325,,Incorrect,0,32,0,32,"PO Required: 32",
"Pune-FV- FMCG-DC",IRM35124402,T10AB,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40267515,"Yera Glass Tumbler - Straight, Food Grade, Odour & Stain Free 285 ml  (Set of 6)",18,130.06,130.05,Correct,153.47,153.459,Correct,255,,Incorrect,0,40,18,22,"Baroda Warehouse 1 - PO Qty: 40, Available: 18, Unavailable: 22<br>PO Required: 22",
"Pune-FV- FMCG-DC",IRM35124402,B6FL,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70133700,BigBasket,40291316,"Yera Glass Bowl - Plain, Lightweight 170 ml  (Set of 6)",18,104.55,104.55,Correct,123.37,123.369,Correct,205,,Incorrect,0,40,0,40,"PO Required: 40",
"Pune-FV- FMCG-DC",IRM35124402,"ISS-0495-0380 (magnus)","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70133700,BigBasket,40291322,"Yera Mason Jar With Lid - Transparent 440 ml  (1 pc)",18,51,51,Correct,60.18,60.18,Correct,100,,Incorrect,0,20,0,20,"PO Required: 20",
"Pune-FV- FMCG-DC",IRA35248666,T9FC,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40183568,"Yera Water/Juice Glass - Transparent 250 ml (Set of 6)",18,161.7,161.7,Correct,190.81,190.806,Correct,330,,Incorrect,0,12,12,0,"Baroda Warehouse 1 - PO Qty: 12, Available: 12, Unavailable: 0",
"Pune-FV- FMCG-DC",IRA35248666,PJS-550,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40356642,"Yera Glass Square Clear Jar 1.5 L (Set of 2)",18,122.5,122.5,Correct,144.55,144.55,Correct,250,,Incorrect,0,40,0,40,"PO Required: 40",
"Pune-FV- FMCG-DC",IRA35248666,"BM355M32-2 PC","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40356651,"Yera Falooda Glass Mug - With Moulded Design 360 ml (Set of 2)",18,122.49,122.5,Correct,144.54,144.55,Correct,250,,Incorrect,0,48,0,48,"PO Required: 48",
"Pune-FV- FMCG-DC",IRA35248666,IC4IF,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40356654,"Yera Glass Bowl 125 ml (Set of 6)",18,161.7,161.7,Correct,190.81,190.806,Correct,330,,Incorrect,0,12,0,12,"PO Required: 12",
"Pune-FV- FMCG-DC",IRA35248666,ICV7M23,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70134900,BigBasket,40356655,"Yera Glass Bowl 100 ml (Set of 6)",18,142.1,142.1,Correct,167.68,167.678,Correct,290,,Incorrect,0,36,0,36,"PO Required: 36",
"Pune-FV- FMCG-DC",IRA35248666,B6FL,"INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70133700,BigBasket,40291316,"Yera Glass Bowl - Plain, Lightweight 170 ml (Set of 6)",18,104.55,104.55,Correct,123.37,123.369,Correct,205,,Incorrect,0,20,0,20,"PO Required: 20",
"Pune-FV- FMCG-DC",IRA35248666,"ISS-0495-0380 (magnus)","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED- Pune DC2","Pune-FV- FMCG-DC",01-04-2026,01-05-2026,70133700,BigBasket,40291322,"Yera Mason Jar With Lid - Transparent 440 ml (1 pc)",18,51,51,Correct,60.18,60.18,Correct,100,,Incorrect,0,20,0,20,"PO Required: 20",
